,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_OER
0,10.1002/anie.201812790,Peoples R China,Chinese Acad Sci,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.823,2019-01-22,101,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/anie.201812790,NaN,NaN,NaN,C,O,None,None,None,None,None,None,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.3390/catal10111260,Malaysia,Univ Teknol MARA,CATALYSTS,4.501,2020-12-11,26,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.3390/catal10111260,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1021/acscatal.2c00164,Peoples R China,Ocean Univ China,ACS CATALYSIS,13.7,2022-05-07,5,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/acscatal.2c00164,NaN,NaN,NaN,C,N,None,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,10.1002/adfm.202010916,Saudi Arabia,King Abdullah Univ Sci & Technol,ADVANCED FUNCTIONAL MATERIALS,19.924,2021-04-01,5,NaN,NaN,NaN,"The SA-Ir@GS exhibits the best water-splitting performance compared to other SA-M@GS, showing a low applied potential of 1.65 V to achieve 10 mA cm(-2) in 1.0 M KOH with cycling over 5 h",Error in finding OVP values.10.1002/adfm.202010916,NaN,NaN,NaN,Cu,Fe,Ir,N,O,Pd,Ru,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1021/acsomega.1c01132,Peoples R China,Qingdao Univ,ACS OMEGA,4.132,2021-06-04,6,NaN,257.0,NaN,The optimized Fe (5%)-Ni@NC catalyst represents a remarkable activity with an overpotential of 257 mV at 10 mA cm(-2) and superior stability toward OER in 1.0 M KOH.,"Normal,only alkaline.",1,0,0,C,Fe,N,None,None,None,None,None,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/c5cy01205h,Australia,CSIRO Virtual Nanosci Lab,CATALYSIS SCIENCE & TECHNOLOGY,6.177,2016-01-01,17,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c5cy01205h,NaN,NaN,NaN,C,O,None,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apcata.2019.01.008,South Africa,Univ Cape Town,APPLIED CATALYSIS A-GENERAL,5.723,2019-03-01,1,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apcata.2019.01.008,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1021/acs.est.0c05635,Peoples R China,Southwest Petr Univ,ENVIRONMENTAL SCIENCE & TECHNOLOGY,11.357,2021-01-26,11,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/acs.est.0c05635,NaN,NaN,NaN,N,Ni,O,None,None,None,None,None,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1016/j.energy.2021.119953,Peoples R China,Cent South Univ,ENERGY,8.857,2021-04-16,3,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.energy.2021.119953,NaN,NaN,NaN,C,O,P,V,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c8ta10414j,Peoples R China,Nanjing Tech Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2019-03-11,13,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c8ta10414j,NaN,NaN,NaN,O,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.matlet.2020.128278,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.matlet.2020.128278,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.2514/1.B34118,NY 10471 USA,Manhattan Coll,JOURNAL OF PROPULSION AND POWER,2.005,2012-04-11,7,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.2514/1.B34118,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1149/2.088401jes,OH 45701 USA,Ohio Univ,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,4.386,2014-01-01,20,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1149/2.088401jes,NaN,NaN,NaN,C,Ir,Ni,Rh,Ru,None,None,None,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,10.1016/j.ijhydene.2017.06.191,Peoples R China,Inner Mongolia Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2017-07-27,29,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.ijhydene.2017.06.191,NaN,NaN,NaN,Ir,N,Ni,O,Pt,None,None,None,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2020.07.078,Peoples R China,Quanzhou Normal Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2020-10-30,7,NaN,NaN,NaN,"Benefiting the unique sandwiched structure, the MoS2/NC boosts a low overpotential of 152.6 mV at a current density of 10 mA cm(-2), a small Tafel slope of 60.3 mV dec(-1), and outstanding long-term stability with 97.3% retention for over 24 h",No pH key word.10.1016/j.ijhydene.2020.07.078,NaN,NaN,NaN,C,Ce,Mo,S,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.matchemphys.2018.08.051,Peoples R China,Heilongiiang Univ,MATERIALS CHEMISTRY AND PHYSICS,4.778,2018-12-28,13,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.matchemphys.2018.08.051,NaN,NaN,NaN,O,S,Ti,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,10.1002/ppsc.201800346,TX 77005 USA,Rice Univ,PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,3.467,2019-03-07,7,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/ppsc.201800346,NaN,NaN,NaN,B,F,N,None,None,None,None,None,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/d0ta08325a,Peoples R China,Huazhong Univ Sci & Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2020-11-17,5,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/d0ta08325a,NaN,NaN,NaN,C,None,None,None,None,None,None,None,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/cctc.202000540,Sweden,Uppsala Univ,CHEMCATCHEM,5.497,2020-10-09,11,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/cctc.202000540,NaN,NaN,NaN,Mo,Nb,Se,Te,W,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/S0360-3199(02)00293-8,NJ 08512 USA,BlackLight Power Inc,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2003-12-01,4,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/S0360-3199(02)00293-8,NaN,NaN,NaN,He,Si,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,10.1039/d0se00518e,Peoples R China,Univ Macau,SUSTAINABLE ENERGY & FUELS,6.813,2020-07-14,6,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/d0se00518e,NaN,NaN,NaN,C,Co,Cr,Cu,Fe,Mn,N,Ni,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/cssc.201200708,Germany,Leibniz Univ Hannover,CHEMSUSCHEM,9.14,2013-02-01,47,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/cssc.201200708,NaN,NaN,NaN,Bi,O,W,None,None,None,None,None,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/0254-0584(95)80019-0,"NANKAI UNIV,INST NEW ENERGY MAT CHEM,TIANJIN 300071,PEOPLES R CHINA","NANKAI UNIV,INST NEW ENERGY MAT CHEM,TIANJIN 300071,PEOPLES R CHINA",MATERIALS CHEMISTRY AND PHYSICS,4.778,1995-07-01,32,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/0254-0584(95)80019-0,NaN,NaN,NaN,Fe,Mo,Ni,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,10.1021/acsaem.1c01721,South Korea,Sungkyunkwan Univ SKKU,ACS APPLIED ENERGY MATERIALS,6.959,2021-11-26,3,NaN,NaN,NaN,"Moreover, MoS2-Pd-Pt exhibited an excellent catalytic activity with a lower overpotential (-64 mV at 10 mA/cm(2)) compared to those of MoS2 (-253 mV) and MoS2-Pd (-204 mV), thereby proving it to be a promising electrocatalyst for the HER as an alternative to Pt.",No pH key word.10.1021/acsaem.1c01721,NaN,NaN,NaN,C,Mo,S,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,10.1016/j.inoche.2019.107598,Peoples R China,Huaqiao Univ,INORGANIC CHEMISTRY COMMUNICATIONS,3.428,2019-12-16,12,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.inoche.2019.107598,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijbiomac.2022.06.120,Peoples R China,Guangxi Univ,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,8.025,2022-09-14,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.ijbiomac.2022.06.120,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1515/ijcre-2020-0186,Mexico,Univ Autonoma Zacatecas,INTERNATIONAL JOURNAL OF CHEMICAL REACTOR ENGINEERING,1.636,2022-02-08,1,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1515/ijcre-2020-0186,NaN,NaN,NaN,Al,Ce,La,Ni,O,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,10.3866/PKU.WHXB201309041,Peoples R China,Nanjing Univ,ACTA PHYSICO-CHIMICA SINICA,6.253,2013-12-11,29,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.3866/PKU.WHXB201309041,NaN,NaN,NaN,Ni,O,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.cej.2017.06.027,Peoples R China,Xiangtan Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2017-10-15,26,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cej.2017.06.027,NaN,NaN,NaN,Al,Mo,O,S,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.1021/acsami.2c10152,India,Indian Inst Technol Gandhinagar,ACS APPLIED MATERIALS & INTERFACES,10.383,2022-08-28,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/acsami.2c10152,NaN,NaN,NaN,None,None,None,None,None,None,None,None,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1088/1757-899X/446/1/012013,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1088/1757-899X/446/1/012013,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.3390/inorganics7100123,Italy,Univ Perugia,INORGANICS,3.149,2019-11-19,8,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.3390/inorganics7100123,NaN,NaN,NaN,Ir,None,None,None,None,None,None,None,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,10.1016/j.seppur.2018.10.026,Iran,Sahand Univ Technol,SEPARATION AND PURIFICATION TECHNOLOGY,9.136,2019-02-05,35,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.seppur.2018.10.026,NaN,NaN,NaN,C,O,Zn,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.fuproc.2017.07.013,Peoples R China,Shenyang Aerosp Univ,FUEL PROCESSING TECHNOLOGY,8.129,2017-11-19,18,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.fuproc.2017.07.013,NaN,NaN,NaN,Al,O,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1002/ppsc.201700278,Peoples R China,Tech Inst Phys & Chem,PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,3.467,2018-12-28,5,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/ppsc.201700278,NaN,NaN,NaN,Ni,O,None,None,None,None,None,None,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.cej.2021.128718,Peoples R China,China Univ Petr,CHEMICAL ENGINEERING JOURNAL,16.744,2021-04-25,3,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cej.2021.128718,NaN,NaN,NaN,C,O,None,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,10.1016/j.electacta.2019.135333,Peoples R China,Fuzhou Univ,ELECTROCHIMICA ACTA,7.336,2019-12-23,13,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.electacta.2019.135333,NaN,NaN,NaN,Co,Fe,S,Se,None,None,None,None,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.arabjc.2018.04.010,Saudi Arabia,King Saud Univ,ARABIAN JOURNAL OF CHEMISTRY,6.212,2020-01-14,13,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.arabjc.2018.04.010,NaN,NaN,NaN,C,I,O,Pt,Ti,V,None,None,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/solr.202100100,Peoples R China,Nanjing Univ,SOLAR RRL,9.173,2021-04-04,9,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/solr.202100100,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/d2nj00489e,Peoples R China,Qingdao Agr Univ,NEW JOURNAL OF CHEMISTRY,3.925,2022-04-21,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/d2nj00489e,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
