,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Final_FE,Final_Y,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel
0,10.1002/admi.201701448,Peoples R China,Chinese Acad Sci,ADVANCED MATERIALS INTERFACES,6.389,2018-12-28,60,NaN,NaN,NaN,Error in finding FE keyword.10.1002/admi.201701448,NaN,NaN,NaN,C,Fe,Ni,Zn,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/adts.201800018,Peoples R China,Zhejiang Univ Technol,ADVANCED THEORY AND SIMULATIONS,4.105,2018-12-28,85,NaN,NaN,NaN,Error in finding FE keyword.10.1002/adts.201800018,NaN,NaN,NaN,C,N,Ru,None,None,None,None,None,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acs.iecr.8b01848,Peoples R China,Nanjing Univ Sci & Technol,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,4.326,2018-08-02,18,NaN,NaN,NaN,Error in finding FE keyword.10.1021/acs.iecr.8b01848,NaN,NaN,NaN,N,O,W,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2020.07.269,Peoples R China,Jiaxing Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2020-11-03,5,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.ijhydene.2020.07.269,NaN,NaN,NaN,C,N,Ni,None,None,None,None,None,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/d2ra02671f,Peoples R China,Dalian Univ Technol,RSC ADVANCES,4.036,2022-05-17,0,NaN,NaN,NaN,Error in finding FE keyword.10.1039/d2ra02671f,NaN,NaN,NaN,C,Cl,N,Ru,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c6ra14114e,South Korea,Yeungnam Univ,RSC ADVANCES,4.036,2016-12-07,15,NaN,NaN,NaN,Error in finding FE keyword.10.1039/c6ra14114e,NaN,NaN,NaN,C,Pt,S,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.3390/chemosensors8020044,Netherlands,Univ Groningen,CHEMOSENSORS,4.229,2020-08-04,2,NaN,NaN,NaN,Error in finding FE keyword.10.3390/chemosensors8020044,NaN,NaN,NaN,B,K,N,O,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.1016/j.apcata.2012.09.035,FL 33620 USA,Univ S Florida,APPLIED CATALYSIS A-GENERAL,5.723,2013-02-08,19,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.apcata.2012.09.035,NaN,NaN,NaN,C,N,O,None,None,None,None,None,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1080/1536383X.2021.1938000,Peoples R China,Wuhan Univ Technol,FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES,2.06,2021-06-25,0,NaN,NaN,NaN,Error in finding FE keyword.10.1080/1536383X.2021.1938000,NaN,NaN,NaN,C,Mn,N,O,P,S,None,None,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,10.1021/jacs.7b11464,MI 48109 USA,Univ Michigan,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,2018-12-28,38,NaN,NaN,NaN,Error in finding FE keyword.10.1021/jacs.7b11464,NaN,NaN,NaN,N,O,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1126/sciadv.aao6657,Singapore,Nanyang Technol Univ,SCIENCE ADVANCES,14.957,2018-12-28,350,NaN,NaN,NaN,Error in finding FE keyword.10.1126/sciadv.aao6657,NaN,NaN,NaN,C,N,P,Pt,None,None,None,None,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s10853-020-04371-6,Peoples R China,Sichuan Univ,JOURNAL OF MATERIALS SCIENCE,4.682,2020-01-24,8,3.6,18.86,"In a 0.1 M Na2SO4 solution, the Ag NPs-rGO delivers Faradaic efficiency of 3.60% and NH3 yield of 18.86 mu g h(-1) mg(-1) cat","Normal, FE value found.",1,0,0,Ag,N,Na,O,S,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s10853-020-04371-6,Peoples R China,Sichuan Univ,JOURNAL OF MATERIALS SCIENCE,4.682,2020-01-24,8,2.25,9.43,"By contrast, the Ag NPs attains inferior Faradaic efficiency of 2.25% with NH3 yield of 9.43 mu g h(-1) mg(-1) cat","Normal, FE value found.",1,0,0,Ag,N,Na,O,S,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/cssc.201403320,Japan,Yokohama Natl Univ,CHEMSUSCHEM,9.14,2015-05-11,67,NaN,NaN,NaN,Error in finding FE keyword.10.1002/cssc.201403320,NaN,NaN,NaN,C,N,S,None,None,None,None,None,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c9ta03828k,Peoples R China,Zhengzhou Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2019-07-11,64,83.3,NaN,"Herein, a P and N-coordinated fullerene-like carbon (N,P-FC) multi-functional catalyst was constructed via a facile soft-template pyrolysis method, which achieves impressive activity for the electrochemical reduction of CO2 to CO (CO2RR, 83.3% faradaic efficiency for CO (FECO), a high current density of similar to 24 mA cm(-2) at -0.8 V), along with high selectivity and long-term stability",No Y value found10.1039/c9ta03828k,0,0,0,C,N,O,P,None,None,None,None,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10.1149/05801.1225ecst,Japan,Yokohama Natl Univ,NaN,0.0,2013-01-01,0,NaN,NaN,NaN,Error in finding FE keyword.10.1149/05801.1225ecst,NaN,NaN,NaN,C,N,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2013.03.006,Taiwan,Natl Taiwan Univ Sci & Technol,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2013-05-10,35,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.ijhydene.2013.03.006,NaN,NaN,NaN,C,Co,Se,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,10.1016/j.elecom.2020.106758,Peoples R China,Beihang Univ,ELECTROCHEMISTRY COMMUNICATIONS,5.443,2020-07-31,16,86.2,NaN,"As a consequence, SA-Ni@NC exhibits a high Faradaic efficiency (up to 86.2%) for the production of CO at a potential of -0.6 V versus the reversible hydrogen electrode",No Y value found10.1016/j.elecom.2020.106758,0,0,0,C,N,Ni,O,None,None,None,None,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10.1016/j.apcata.2013.05.039,CT 06269 USA,Univ Connecticut,APPLIED CATALYSIS A-GENERAL,5.723,2013-11-01,29,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.apcata.2013.05.039,NaN,NaN,NaN,N,Pt,None,None,None,None,None,None,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.nanoen.2021.106099,Peoples R China,City Univ Hong Kong,NANO ENERGY,19.069,2021-11-28,7,44.45,11.59,The optimized Pd/HsGDY features an ultrahigh Faraday efficiency of 44.45% and an NH3 yield of 115.93 mg g-1 h-1 (or 11.59 mu g cm-2 h-1),"Normal, FE value found.",0,0,0,Hs,N,Pd,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1038/s41467-020-16381-8,Peoples R China,Dalian Univ Technol,NATURE COMMUNICATIONS,17.694,2020-06-12,127,36.7,336.1,Acetone is identified as the major product with a Faradaic efficiency of 36.7% and a production rate of 336.1 mu gh(-1),"Normal, FE value found.",0,0,0,C,Cu,O,None,None,None,None,None,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10.1016/j.nanoen.2020.105158,Singapore,Nanyang Technol Univ,NANO ENERGY,19.069,2020-12-01,44,96.0,NaN,"Benefitting from the abundant atomic Ni sites and ultrahigh specific surface area of porous 2D supports (>1000 m(2) g(-1)), the catalyst exhibits excellent activity for CO2 reduction with particularly high selectivity towards CO, achieving a faradaic efficiency of 96% at -0.86 V (vs",No Y value found10.1016/j.nanoen.2020.105158,0,0,0,C,N,Ni,O,None,None,None,None,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10.1149/2.1411809jes,Peoples R China,Univ Sci & Technol Liaoning,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,4.386,2018-12-28,9,NaN,NaN,NaN,Error in finding FE keyword.10.1149/2.1411809jes,NaN,NaN,NaN,C,Co,Mn,N,O,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acsanm.1c04177,Peoples R China,Nanjing Inst Technol,ACS APPLIED NANO MATERIALS,6.14,2022-06-05,0,32.5,6.88,"The obtained X-doped Sb2O3 nanorods were confirmed as efficient and stable catalysts for electrochemical nitrogen reduction, which exhibited a superior ammonia yield of 6.88 mu g h(-1) cm(-2) with a Faradaic efficiency of 32.5% at -0.18 V versus RHE","Normal, FE value found.",0,0,0,N,O,S,Sb,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jmrt.2021.11.134,Peoples R China,Jiangxi Univ Sci & Technol,JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY-JMR&T,6.267,2022-01-05,1,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.jmrt.2021.11.134,NaN,NaN,NaN,Fe,O,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,10.1021/jp9034166,Peoples R China,E China Univ Sci & Technol,JOURNAL OF PHYSICAL CHEMISTRY C,4.177,2009-07-23,65,NaN,NaN,NaN,Error in finding FE keyword.10.1021/jp9034166,NaN,NaN,NaN,B,Fe,Na,O,Ti,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s12274-014-0468-1,Peoples R China,Huazhong Univ Sci & Technol,NANO RESEARCH,10.269,2014-08-27,68,NaN,NaN,NaN,Error in finding FE keyword.10.1007/s12274-014-0468-1,NaN,NaN,NaN,C,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c3nr34002c,Peoples R China,Beijing Inst Technol,NANOSCALE,8.307,2013-01-01,159,NaN,NaN,NaN,Error in finding FE keyword.10.1039/c3nr34002c,NaN,NaN,NaN,C,N,None,None,None,None,None,None,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1088/1361-6528/ab2af0,Peoples R China,Lanzhou Univ,NANOTECHNOLOGY,3.953,2019-08-02,26,NaN,NaN,NaN,Error in finding FE keyword.10.1088/1361-6528/ab2af0,NaN,NaN,NaN,C,Ce,Co,O,Zn,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1007/s10800-008-9548-9,Greece,Univ Patras,JOURNAL OF APPLIED ELECTROCHEMISTRY,2.925,2008-08-01,19,900.0,NaN,"The corresponding rate enhancement ratio of complete C2H4 oxidation is up to 900% with Faradaic efficiency, Lambda(CO2), values up to 350",No Y value found10.1007/s10800-008-9548-9,1,0,0,C,N,O,None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.carbon.2019.09.082,South Korea,Yonsei Univ,CARBON,11.307,2020-02-06,7,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.carbon.2019.09.082,NaN,NaN,NaN,C,Co,N,P,None,None,None,None,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.catcom.2020.105969,Peoples R China,Shanxi Univ,CATALYSIS COMMUNICATIONS,3.51,2020-04-30,12,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.catcom.2020.105969,NaN,NaN,NaN,Cu,N,None,None,None,None,None,None,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.1007/s40843-022-2021-y,Peoples R China,Jiangnan Univ,SCIENCE CHINA-MATERIALS,8.64,2022-05-21,0,init,NaN,"The NH3 yield and Faraday efficiency for B-0.9(FCNZY)(0.2) are 1.51 and 1.95 times higher than those for B(FCNZY)(0.2), respectively",No Y value found10.1007/s40843-022-2021-y,NaN,NaN,NaN,N,O,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jcou.2019.07.014,Peoples R China,East China Normal Univ,JOURNAL OF CO2 UTILIZATION,8.321,2019-10-09,43,56.3,NaN,The maximum Faradaic efficiency for ethanol formation of 56.3% was obtained at the potential of -0.250 V vs,No Y value found10.1016/j.jcou.2019.07.014,0,0,0,C,Cu,O,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10.1016/j.mcat.2021.111610,Russia,Kazan Fed Univ,MOLECULAR CATALYSIS,5.089,2021-07-15,3,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.mcat.2021.111610,NaN,NaN,NaN,Cr,N,O,None,None,None,None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apsusc.2022.153786,Peoples R China,China Three Gorges Univ,APPLIED SURFACE SCIENCE,7.392,2022-07-08,2,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.apsusc.2022.153786,NaN,NaN,NaN,C,N,S,Zn,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1006/jcat.1998.2376,MA 02155 USA,Tufts Univ,JOURNAL OF CATALYSIS,8.047,1999-03-10,132,NaN,NaN,NaN,Error in finding FE keyword.10.1006/jcat.1998.2376,NaN,NaN,NaN,Ag,N,O,None,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
