TEST,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_HWP,Alkaline_HWP,Neutral_HWP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_Onset
0,10.1016/j.chempr.2018.07.005,Peoples R China,Qingdao Univ,CHEM,25.832,12/28/2018,205,0.76,0.85,NaN,"This metal-free material exhibited outstanding oxygen reduction reaction (ORR) activity (e.g., half-wave potentials of 0.76 V in 0.5 M H2SO4 and 0.1 M HCIO4 ; 0.85 V in 0.1 M KOH) with good stability and high current density in both acidic and alkaline electrolytes","Normal,acid and alkaline.",0,0,1,C,S,N,None,None,None,None,None,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.micromeso.2021.111556,Peoples R China,Tiangong Univ,MICROPOROUS AND MESOPOROUS MATERIALS,5.876,12/1/2021,2,0.615,0.862,NaN,"With the synergistic effect of these contributions, the NH3-NPCS-900 catalyst exhibit excellent ORR catalytic activity across acidic (E1/2 = 0.615 V) and alkaline solutions (E1/2 = 0.862 V)","Normal,acid and alkaline.",0,0,0,C,N,None,None,None,None,None,None,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c6ta03265f,Peoples R China,Wuhan Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,1/1/2016,117,0.77,NaN,NaN,"The resulting FeNC-20-1000 hybrid electrocatalyst exhibits excellent oxygen reduction reaction (ORR) activity, with a half-wave potential of 0.770 V comparable to that of the commercial Pt/C catalysts in acidic media, and a half-wave potential of 0.880 V, ca","Normal,only acid.",0,1,0,C,N,Fe,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/adma.202103133,Peoples R China,Univ Sci & Technol China,ADVANCED MATERIALS,32.086,9/18/2021,6,0.81,NaN,NaN,"Here, a novel carbon-based electrocatalyst is reported toward ORR in 0.1 m HClO4 with half-wave potential of 0.81 V and better durability (100 h reaction time) than commercial 20 wt% Pt/C","Normal,only acid.",0,0,0,C,N,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.electacta.2017.08.055,Argentina,CNEA,ELECTROCHIMICA ACTA,7.336,10/10/2017,34,0.72,NaN,NaN,"The catalyst derived from Cobalt 2,3-pyrazinedicarboxylate polymer (700 degrees C) exhibited attractive electrokinetic parameters for the ORR comparable to those of Pt 20% in acidic medium (Tafel slope = 82 mV dec (1), exchange current density = 10 mA cm (1), equilibrium potential = 907 mV (vs RHE), half wave potential = 720 mV (vs RHE), number of exchanged electrons ca","Normal,only acid.",1,0,0,N,Co,C,None,None,None,None,None,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1039/c4ta02010c,Canada,Univ Laval,JOURNAL OF MATERIALS CHEMISTRY A,14.511,8/20/2014,72,0.811,NaN,NaN,"In a H2SO4 (pH = 1) electrolyte, the ORR onset potential of 0.915 V, and the half-wave potential of 0.811 V are achieved using the most promising electrocatalyst (C700/950)","Normal,only acid.",0,1,0,C,Fe,N,Cl,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,10.1016/j.apenergy.2016.03.065,Peoples R China,Donghua Univ,APPLIED ENERGY,11.446,8/1/2016,52,0.73,0.86,NaN,"In particular, N/S-Fe-HPC shows superior catalytic ORR performance compared to commercially available 20% Pt/C in alkaline medium reflected by the onset potential of 0.98 V and half-wave potential of 0.86 V, and comparable ORR activity in acidic media with the onset potential of 0.84 V and half-wave potential of 0.73 V","Normal,acid and alkaline.",0,1,0,C,Fe,N,S,None,None,None,None,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.nanoen.2019.104164,Peoples R China,Southern Univ Sci & Technol,NANO ENERGY,19.069,1/6/2020,49,0.84,NaN,NaN,"In acidic media for ORR, as-prepared Fe-1-N-NG/RGO catalyst exhibited half-wave potential (E-1/2) of 0.84 V versus the reversible hydrogen electrode, and the loss of E-1/2 is less than 5 mV during 15,000 potential cycles.","Normal,only acid.",1,1,0,C,Fe,N,O,None,None,None,None,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/cssc.202102642,Peoples R China,East China Normal Univ,CHEMSUSCHEM,9.14,3/4/2022,2,0.75,0.86,NaN,"The optimal electrocatalyst revealed excellent ORR activity in both alkaline and acidic electrolytes, with half-wave potentials of 0.86 and 0.75 V, respectively","Normal,acid and alkaline.",0,0,0,C,N,Fe,None,None,None,None,None,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1039/c8qi00681d,Peoples R China,Wuhan Univ,INORGANIC CHEMISTRY FRONTIERS,7.779,12/28/2018,8,0.74,0.86,NaN,"In 0.1 M KOH solution, the as-synthesized FeNC-ZIF-800 showed a half-wave potential of 0.86 V, ca","Normal,only alkaline.",0,0,0,C,Fe,N,None,None,None,None,None,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.ijhydene.2021.01.056,Peoples R China,Chinese Acad Sci,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,4/16/2021,6,0.8,0.89,NaN,"Typically, the obtained Fe, Pt-N/S co-doped carbon (FePt-NSC) catalyst exhibits superior ORR performance with positive half-wave potentials (E-1/2) of 0.89 and 0.80 V in alkaline and acidic solutions, respectively","Normal,acid and alkaline.",0,0,0,C,N,Fe,Pt,S,None,None,None,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/er.6796,South Korea,Kyung Hee Univ,INTERNATIONAL JOURNAL OF ENERGY RESEARCH,4.672,5/10/2021,1,0.77,NaN,NaN,The prepared L-CoFe-NC showed a half-wave potential (E-1/2) of 0.77 V and an onset potential (E-onset) of 0.88 V in 0.5 M H2SO4,"Normal,only acid.",0,1,0,C,Co,Fe,N,None,None,None,None,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.ijhydene.2020.07.094,Peoples R China,Wuhan Inst Technol,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,10/30/2020,9,0.893,NaN,NaN,"Electrochemical characterization shows that among the synthesized catalysts Pd9Au1@Pt-2/C with 2 atomic Pt layers exhibits the best activity and excellent stability for ORR, as evidenced by its even increased half-wave potential after 10000 potential cycles between 0.6 and 1 V in O-2-saturated 0.1 M HClO4 solution","Normal,only acid.",0,1,0,Au,C,Pd,Pt,None,None,None,None,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s40843-019-1207-y,WA 99164 USA,Washington State Univ,SCIENCE CHINA-MATERIALS,8.64,6/19/2020,38,0.858,NaN,NaN,"The half-wave potential of the optimized material reached 0.858 V, which is 23 mV higher than that of the pristine one in a 0.1 mol L-1 HClO4 solution","Normal,only acid.",0,0,0,P,Fe,N,C,None,None,None,None,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acscatal.9b03514,Peoples R China,Jilin Univ,ACS CATALYSIS,13.7,11/19/2019,79,0.723,0.826,NaN,"Moreover, it shows a high half-wave potential of 0.826 and 0.723 V for ORR in 0.1 M KOH and 0.1 M HClO4, respectively","Normal,acid and alkaline.",0,0,0,C,N,Ru,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1002/adfm.201604356,Peoples R China,Dalian Univ Technol,ADVANCED FUNCTIONAL MATERIALS,19.924,12/28/2018,106,0.75,0.87,NaN,"Interestingly, the obtained NPME exhibits one of the highest oxygen reduction reaction (ORR) activity in both alkaline (half-wave potential of 0.87 V vs reversible hydrogen electrode-RHE) and acidic (half-wave potential of 0.75 V vs RHE) medium","Normal,acid and alkaline.",0,0,0,C,Fe,N,P,None,None,None,None,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2020.03.025,Peoples R China,Northwest Normal Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,5/11/2020,7,0.72,0.861,NaN,"The optimized Fe3C@3DNC catalyst (Fe3C@3DNC-1-900) had good ORR performance in alkaline medium, with an Eonest value of 0.968 V and E-1/2 value of 0.861","Normal,only alkaline.",0,0,0,C,Fe,N,Na,O,Si,Cl,None,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1039/d1ta03019a,Peoples R China,Chinese Acad Sci,JOURNAL OF MATERIALS CHEMISTRY A,14.511,6/8/2021,13,0.85,0.85,NaN,"Based on the combination of the active Zn atoms and Pt-Zn clusters/nanoparticles, the catalyst displays high catalytic activity towards ORR with half-wave potentials of 0.85 and 0.85 V, which were more positive than those of Pt/C in alkaline and acidic conditions, respectively","Normal,acid and alkaline.",0,0,0,C,N,Pt,Zn,None,None,None,None,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.pnsc.2020.10.018,Peoples R China,Shanghai Jiao Tong Univ,PROGRESS IN NATURAL SCIENCE-MATERIALS INTERNATIONAL,4.269,1/28/2021,5,0.81,0.92,NaN,"Significantly, the composition-optimized catalyst exhibits superior ORR activity in both 0.1 M HClO4 electrolyte and 0.1 M KOH electrolyte, in which the half-wave potential reaches 0.81 V and 0.92 V (vs","Normal,acid and alkaline.",0,0,0,C,Fe,N,S,None,None,None,None,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/smll.202100735,Peoples R China,Huazhong Univ Sci & Technol,SMALL,15.153,6/25/2021,17,0.82,NaN,NaN,"The electrochemical measurements reveal that P(AA-AM)(5-1)-Co-N possesses enhanced ORR activity (half-wave potential (E-1/2) approximate to 0.820 V versus the reversible hydrogen electrode (RHE)) and stability (approximate to 4 mV shift in E-1/2 after 5000 potential cycles in 0.5 m H2SO4 at 60 oC) relative to PAA-Co-N, which is higher than most Co-N-C catalysts reported so far.","Normal,only acid.",0,0,0,N,C,Co,None,None,None,None,None,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2016.11.031,Peoples R China,Beijing Univ Chem Technol,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,7/4/2017,5,0.75,NaN,NaN,"The experimental results exhibited remarkable catalytic activity in an acidic medium, with the onset potential, half-wave potential, and limiting current density reaching 0.87 V, 0.75 V (vs","Normal,only acid.",0,1,0,C,N,O,None,None,None,None,None,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.ijhydene.2019.04.197,Peoples R China,Changchun Univ Sci & Technol,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,7/16/2019,4,0.732,NaN,NaN,"Importantly, the catalyst displays a half-wave potential of 0.732 V and small Tafel slope of 45 mV dec(-1) in acidic medium, indicative of satisfying performance","Normal,only acid.",0,0,0,C,Fe,N,S,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.cej.2022.135377,Peoples R China,Shanghai Jiao Tong Univ,CHEMICAL ENGINEERING JOURNAL,16.744,7/14/2022,2,0.8,0.88,NaN,"As electrocatalysts for ORR, half-wave potential (E-1/2) of 0.88 V and diffusion limiting current density (J(L)) of 5.88 mA cm(-2) can be achieved in 0.1 M KOH, exceeding the most of reported non-precious catalysts and commercial Pt/C","Normal,only alkaline.",0,0,0,Cu,N,C,None,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/slct.201901329,Peoples R China,Chongqing Univ,CHEMISTRYSELECT,2.307,8/8/2019,4,0.74,NaN,NaN,"Specifically, when APS/AN=2.5, the derived PANI with moderate QR content benefits to produce Fe-N-C catalyst which shows the maximum ORR activity with a half-wave potential of 0.74 V (vs RHE) in acidic electrolyte among the produced catalysts","Normal,only acid.",1,1,0,Fe,C,N,None,None,None,None,None,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.ijhydene.2021.03.034,Peoples R China,East China Univ Sci & Technol,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,5/25/2021,2,0.78,NaN,NaN,"In 0.1 M HClO4, this material showed outstanding ORR catalytic activity with a half-wave potential of 0.78 V that was 40 mV higher than the traditional heat treatment derived CreNeC","Normal,only acid.",0,0,0,Cr,O,N,C,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acsami.9b07436,Peoples R China,South China Univ Technol,ACS APPLIED MATERIALS & INTERFACES,10.383,8/8/2019,110,0.78,0.88,NaN,"With an optimal mass ratio 1:1 of melamine to Fe-ZIF-8, the resultant Fe@MNC-1 exhibits excellent ORR activity and stability, which exceeds 20 wt % commercial Pt/C catalyst (with a half-wave potential of 0.88 V vs 0.85 V) in an alkaline electrolyte and is even comparable to the commercial Pt/C catalyst (with a half-wave potential of 0.78 V vs 0.80 V) in an acidic electrolyte","Normal,acid and alkaline.",0,1,0,C,Fe,N,None,None,None,None,None,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.ijhydene.2018.04.118,Peoples R China,Donghua Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,12/28/2018,42,0.68,0.84,NaN,"The most efficient one, i.e., PGF-Fe-NBP, received the onset potential of 0.95 V and a half-wave potential of 0.84 V in alkaline medium","Normal,only alkaline.",0,1,0,B,C,N,P,None,None,None,None,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10.1149/1945-7111/ac5795,Peoples R China,Shanghai Jiao Tong Univ,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,4.386,3/13/2022,1,0.8,NaN,NaN,The optimal sample exhibits a half-wave potential of 0.80 V vs RHE in acidic media,"Normal,only acid.",0,0,0,C,Fe,N,None,None,None,None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1088/1361-6528/aba3da,Peoples R China,Guangdong Univ Technol,NANOTECHNOLOGY,3.953,8/27/2020,6,0.86,NaN,NaN,"the Pt nanodendrites also exhibited a higher half wave potential of 0.86 V and lower tafel slope of 51.69 mV dec(-1)when compared with 20% Pt/C (0.83 V, 93.55 mV dec(-1)) in acid conditions toward ORR","Normal,only acid.",0,1,0,Pt,None,None,None,None,None,None,None,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
