,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_HER
0,10.1039/c9sc03224j,Peoples R China,Sun Yat Sen Univ,CHEMICAL SCIENCE,9.969,2019-11-18,22,NaN,NaN,430.0,"Herein, we report a highly stable metal-organic framework that shows high catalytic activity and durability for electrically driven (an overpotential of 430 mV at 10 mA cm(-2) in neutral aqueous solution) and photodriven (a turnover frequency of 16 s(-1) and 12 000 cycles) water oxidation, representing the best catalyst for water oxidation reported to date","Normal,only neutral.",0,0,0,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.cej.2021.131468,Peoples R China,Beijing Forestry Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2021-12-18,4,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cej.2021.131468,NaN,NaN,NaN,Cu,I,N,Ni,O,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,10.1016/j.jssc.2019.120913,Peoples R China,Luoyang Normal Univ,JOURNAL OF SOLID STATE CHEMISTRY,3.656,2019-10-09,30,NaN,NaN,340.0,Electrochemical measurements reveal that 2 modified electrode is catalytically active to oxygen evolution reaction with a lower overpotential of only 340 mV at 10 mA cm(-2) in neutral solution.,"Normal,only neutral.",0,0,0,Co,I,N,None,None,None,None,None,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/celc.201700366,Peoples R China,Qingdao Univ Sci & Technol,CHEMELECTROCHEM,4.782,2017-08-01,22,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/celc.201700366,NaN,NaN,NaN,Fe,N,P,None,None,None,None,None,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.3390/nano12061015,Peoples R China,Southeast Univ,NANOMATERIALS,5.719,2022-04-05,1,NaN,NaN,NaN,"Specifically, the designed NiCo-LDH RDC@CNTs exhibited a distinguished OER activity, which only required a low overpotential of 255 mV to reach a current density of 10 mA cm(-2) for the OER",No pH key word.10.3390/nano12061015,NaN,NaN,NaN,C,Co,Ni,None,None,None,None,None,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.solener.2015.12.049,India,Natl Inst Technol Karnataka Surathkal,SOLAR ENERGY,7.188,2016-04-06,61,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.solener.2015.12.049,NaN,NaN,NaN,Ag,O,Ti,None,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1016/j.watres.2016.05.008,France,INRA,WATER RESEARCH,13.4,2016-07-20,46,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.watres.2016.05.008,NaN,NaN,NaN,C,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10.1016/j.jfluchem.2006.04.017,Japan,Tokyo Univ Sci,JOURNAL OF FLUORINE CHEMISTRY,2.226,2006-08-01,12,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jfluchem.2006.04.017,NaN,NaN,NaN,C,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.chemosphere.2021.130030,Spain,Univ Cordoba,CHEMOSPHERE,8.943,2021-06-11,8,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.chemosphere.2021.130030,NaN,NaN,NaN,Cr,Cu,N,O,Zn,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/S1001-0742(13)60445-3,Peoples R China,Natl Engn Lab Hydromet Cleaner Prod Technol,JOURNAL OF ENVIRONMENTAL SCIENCES,6.796,2014-03-01,21,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/S1001-0742(13)60445-3,NaN,NaN,NaN,Ag,O,Ti,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.susc.2009.06.013,IN 46556 USA,Univ Notre Dame,SURFACE SCIENCE,2.07,2009-08-15,12,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.susc.2009.06.013,NaN,NaN,NaN,C,O,Ru,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/la0471184,Japan,Natl Inst Adv Ind Sci & Technol,LANGMUIR,4.331,2005-03-29,3,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/la0471184,NaN,NaN,NaN,C,O,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10.1080/01919510590908922,NaN,NaN,Ozone Science & Engineering,2.604,2005-02-01,6,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1080/01919510590908922,NaN,NaN,NaN,Cu,O,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.electacta.2018.10.173,Taiwan,Natl Univ Kaohsiung,ELECTROCHIMICA ACTA,7.336,2019-01-10,13,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.electacta.2018.10.173,NaN,NaN,NaN,C,N,None,None,None,None,None,None,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10.1016/j.apsusc.2019.05.137,Peoples R China,Nankai Univ,APPLIED SURFACE SCIENCE,7.392,2019-07-02,2,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apsusc.2019.05.137,NaN,NaN,NaN,O,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1080/19443994.2015.1059374,France,Univ Paris 06,DESALINATION AND WATER TREATMENT,1.273,2016-04-20,6,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1080/19443994.2015.1059374,NaN,NaN,NaN,K,O,S,Ti,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apsusc.2019.07.231,Peoples R China,Jinan Univ,APPLIED SURFACE SCIENCE,7.392,2019-10-14,27,148.0,128.0,NaN,"And then these beneficial effects enable Co-Ni0.85Se/RGO efficient HER catalytic activity in both acid and basic electrolytes, achieving small overpotentials of 148 and 128 mV at a current density of 10 mA cm(-2) in 0.5M H2SO4 and 1.0M KOH, respectively.","Normal,acid and alkaline.",1,0,0,Co,Ni,Se,None,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,10.1002/ppsc.201600323,Peoples R China,Harbin Inst Technol,PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,3.467,2017-04-12,23,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/ppsc.201600323,NaN,NaN,NaN,O,Ti,None,None,None,None,None,None,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/b920172f,Peoples R China,E China Univ Sci & Technol,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,3.945,2010-01-01,11,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/b920172f,NaN,NaN,NaN,Ca,O,Pd,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1002/adem.201600652,Wales,Swansea Univ,ADVANCED ENGINEERING MATERIALS,4.122,2017-03-01,6,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/adem.201600652,NaN,NaN,NaN,C,None,None,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c7qi00167c,Peoples R China,Lanzhou Univ,INORGANIC CHEMISTRY FRONTIERS,7.779,2017-07-01,43,NaN,NaN,NaN,We found that the u-Ni70Fe30 LDHs/a-CF shows a remarkable catalytic activity (the overpotential of 260 mV at 10 mA cm(-2)) and superior catalytic stability (beyond 50 h) in basic media,No pH key word.10.1039/c7qi00167c,NaN,NaN,NaN,C,F,Fe,Ni,None,None,None,None,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,10.1021/acscatal.0c04613,France,Univ Grenoble Alpes,ACS CATALYSIS,13.7,2021-04-27,16,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/acscatal.0c04613,NaN,NaN,NaN,Ta,None,None,None,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10.1038/s41467-022-32510-x,Peoples R China,Peking Univ,NATURE COMMUNICATIONS,17.694,2022-08-24,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1038/s41467-022-32510-x,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10.1016/j.apsusc.2017.01.169,Peoples R China,Guangxi Univ,APPLIED SURFACE SCIENCE,7.392,2017-05-01,39,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apsusc.2017.01.169,NaN,NaN,NaN,I,Mn,V,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.cej.2012.11.005,Iran,Tarbiat Modares Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2013-05-05,33,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cej.2012.11.005,NaN,NaN,NaN,Cl,La,Mn,O,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.1016/j.jpowsour.2017.02.062,Japan,Hirosaki Univ,JOURNAL OF POWER SOURCES,9.794,2017-04-15,116,NaN,NaN,NaN,"It is found that the inter-layer distance of NiFe LDH material can be increased from 7.8 to 9.5 angstrom by immersing the electrode in formamide at 80 C-circle for 3 h, and the required overpotential of oxygen evolution reaction (OER) for sustaining 10 mA cm(-2) current density is reduced from 256 to 210 mV",No pH key word.10.1016/j.jpowsour.2017.02.062,NaN,NaN,NaN,Fe,Ni,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,10.1016/j.jpowsour.2017.02.062,Japan,Hirosaki Univ,JOURNAL OF POWER SOURCES,9.794,2017-04-15,116,NaN,NaN,NaN,"Moreover, with the assistance of ultrasound treatment, the required intercalation time is reduced drastically and the overpotential@10 mA cm(-2) current density is further decreased to 203 mV",No pH key word.10.1016/j.jpowsour.2017.02.062,NaN,NaN,NaN,Fe,Ni,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,10.1016/j.cej.2021.131712,Peoples R China,Tianjin Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2021-12-23,6,NaN,81.0,NaN,"The optimized Ni-Mo2C/CF for HER and FeNi-Mo2C/CF for OER achieve overpotentials of 81 and 228 mV to reach 10 mA cm(-2), respectively, in 1.0 M KOH","Normal,only alkaline.",1,1,0,C,Fe,Mo,Ni,None,None,None,None,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.cej.2021.131712,Peoples R China,Tianjin Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2021-12-23,6,NaN,NaN,NaN,"Furthermore, the FeNi-Mo2C/CF(+) //Ni-Mo2C/CF(-) alkaline water electrolyzer demonstrates a low cell voltage of 1.53 V at 10 mA cm(-2), outperforming most ever-reported water electrolyzer cells, and impressive stability over 24 h at 50 mA cm(-2)",Error in finding OVP values.10.1016/j.cej.2021.131712,NaN,NaN,NaN,C,Fe,Mo,Ni,None,None,None,None,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.cej.2017.07.172,Peoples R China,Zhejiang Sci Tech Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2017-12-15,63,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cej.2017.07.172,NaN,NaN,NaN,B,C,Fe,I,O,P,S,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,10.1039/d1ce00761k,Peoples R China,Anhui Univ Sci & Technol,CRYSTENGCOMM,3.756,2021-07-13,1,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/d1ce00761k,NaN,NaN,NaN,P,V,Zn,None,None,None,None,None,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.envres.2022.113116,Vietnam,Ton Duc Thang Univ,ENVIRONMENTAL RESEARCH,8.431,2022-05-26,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.envres.2022.113116,NaN,NaN,NaN,C,O,Pd,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,10.1002/chem.201604231,India,SRM Univ,CHEMISTRY-A EUROPEAN JOURNAL,5.02,2017-01-12,52,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/chem.201604231,NaN,NaN,NaN,C,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,10.1039/d0nj03701j,Iran,Inst Adv Studies Basic Sci IASBS,NEW JOURNAL OF CHEMISTRY,3.925,2020-12-31,4,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/d0nj03701j,NaN,NaN,NaN,Fe,Ni,P,None,None,None,None,None,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.jssc.2012.08.063,India,Indian Inst Technol,JOURNAL OF SOLID STATE CHEMISTRY,3.656,2013-01-01,15,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jssc.2012.08.063,NaN,NaN,NaN,I,Mg,Mn,O,V,None,None,None,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.3390/catal10020144,Poland,Polish Acad Sci,CATALYSTS,4.501,2020-04-03,1,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.3390/catal10020144,NaN,NaN,NaN,C,Co,Mo,N,O,P,W,None,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/0165-1633(88)90036-6,"UNIV RUHUNA,DEPT PHYS,MATARA,SRI LANKA","UNIV RUHUNA,DEPT PHYS,MATARA,SRI LANKA",NaN,0.0,1988-01-01,20,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/0165-1633(88)90036-6,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
