TEST,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,HWP,Remark_Sentence,Bug_Note,PH,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_Onset
1,10.1039/c9ta03819a,Peoples R China,Tianjin Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,1/28/2020,49,0.8,"Electrochemical results show that a pyrite-type NiS2 catalyst with surface enriched Ni3+ sites exhibits enhanced catalytic activities towards tri-functional electrocatalysis: overpotentials of 241 mV and 147 mV to achieve a current density of 10 mA cm(-2) in 1.0 M KOH for OER and HER, respectively; and a half-wave potential of 0.80 V for ORR","Normal,only alkaline.",13,1,1,0,Ni,S,None,None,None,None,None,None,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,10.1016/j.cej.2022.137210,Peoples R China,Anhui Univ Sci & Technol,CHEMICAL ENGINEERING JOURNAL,16.744,6/22/2022,3,0.85,"Thanks to these attributes, the hybrid electrocatalyst delivered decent reversible oxygen catalytic activities, evidenced by a high half-wave potential of 0.850 V towards ORR and a low overpotential of 355 mV at 10 mA/cm2 for OER both in alkaline electrolyte","Normal,only alkaline.",13,1,0,0,C,N,Fe,Co,Ni,None,None,None,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1016/j.apcatb.2020.119514,Peoples R China,Nankai Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,12/29/2020,59,0.864,"The obtained catalyst exhibits superior activities toward ORR (E-1/2 = 0.864 V), OER (eta =383 mV@10 mA/cm(2)) and HER (eta = 193 mV@10 mA/cm(2)) in 0.1 M KOH solution","Normal,only alkaline.",13,1,1,0,C,Co,N,None,None,None,None,None,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1016/j.electacta.2021.138089,Australia,Deakin Univ,ELECTROCHIMICA ACTA,7.336,4/27/2021,11,0.91,"The as-prepared NFS-CNF presents superior oxygen catalytic performance as well as excellent durability, exhibiting a positive half-wave potential (0.91 V) for oxygen reduction reaction (ORR) and a low overpotential (380 mV at 10 mA cm(-2)) for oxygen evolution reaction (OER) in alkaline medium","Normal,only alkaline.",13,1,0,0,C,F,N,S,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,10.1007/s10854-021-06000-7,Peoples R China,Guangdong Univ Technol,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,2.779,5/17/2021,4,0.84,"Herein, orthorhombic CoSe2 nanoparticles anchored in acid-treated Ketjenblack (o-CoSe2/AK) nanoparticles have been synthesized via a hydrothermal reaction and selenization treatment, and exhibit excellent ORR and OER performance (a half-wave potential of 0.84 V for ORR and an overpotential of 380 mV at 10 mA cm(-2) for OER)","Normal,only acid.",13,1,0,0,Co,Se,C,None,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,10.1039/c9dt04930d,Peoples R China,Shanxi Univ,DALTON TRANSACTIONS,4.569,3/24/2020,8,0.86,"As expected, the rich variety of active species and hierarchical pore structures endow CoT@NC with excellent performances toward ORR, HER, and OER, including a high half-wave potential value of 0.86 V for ORR and low overpotential values for OER (350 mV) and HER (209 mV) at 10 mA cm(-2) in an alkaline solution","Normal,only alkaline.",13,1,1,0,Co,N,Ni,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1021/acssuschemeng.0c03570,Peoples R China,Jiangnan Univ,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,9.224,7/14/2020,39,0.81,"The designed Ni-Co-S/NSC presents excellent electrocatalytic performances for OER (10 mA cm(-2) @309 mV) and ORR (0.81 V g E-1/2) and a small Delta E (Delta E = E-j10 - E-1/2) of 0.73 V in an alkaline electrolyte, enabling its use as an outstanding cathode in rechargeable Zn-air batteries","Normal,only alkaline.",13,1,0,0,C,N,S,Ni,Co,None,None,None,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1016/j.jechem.2022.03.048,Peoples R China,Nankai Univ,JOURNAL OF ENERGY CHEMISTRY,13.599,6/11/2022,2,0.83,"Consequently, the S-FeCo3P/NPSG electrode exhibits extraordinary bifunctional activities toward oxygen electrochemistry of the OER overpotential of 290 mV at 10 mA cm(-2) and the ORR half-wave potential of 0.83 V, approaching to that of noble-metal IrO2 (289 mV) and Pt/C (0.84 V), respectively, but with more stronger operation stability in alkaline media","Normal,only alkaline.",13,1,1,0,C,N,P,S,Fe,Co,None,None,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1016/j.jpowsour.2021.229859,Peoples R China,Jiangnan Univ,JOURNAL OF POWER SOURCES,9.794,6/4/2021,7,0.8,"In this work, using a facile self-template method, the optimal 2D amorphous N-doped CoFe-phosphate displays superior electrocatalytic performances toward both ORR and OER, which exhibits a lower overpotential of 313 mV at 10 mA cm-2 (Ej=10) for OER and a high half-wave potential of 0.74 V(E1/2) for ORR and a small potential gap Delta E (Delta E = Ej=10 - E1/2) of 0.80 V in 1.0 M KOH electrolyte","Normal,only alkaline.",13,1,0,0,N,Co,Fe,P,None,None,None,None,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1016/j.colsurfa.2021.128118,Peoples R China,Nankai Univ,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,5.518,12/31/2021,8,0.849,"In alkaline electrolytes, requiring overpotentials of 95 and 282 mV to deliver a current density of 10 mA cm-2 for HER and OER, respectively, and presents the significantly increased alkalic ORR activity, with the half-wave potential of 0.849 V","Normal,only alkaline.",13,1,1,1,C,Fe,Co,P,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1021/acssuschemeng.1c08568,Peoples R China,Univ Sci & Technol Beijing,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,9.224,3/4/2022,1,0.9,"The synergistic effect within Co-NHCs leads to excellent electrocatalytic activity, showing durable and stable ORR properties with a positive half-wave potential of 0.90 V vs RHE, as well as high stability for HER, exhibiting a low overpotential of 143 mV in the case of 10 mA cm(-2) current density in 1.0 M KOH","Normal,only alkaline.",13,0,0,0,C,Co,N,None,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.1016/j.electacta.2022.139974,Peoples R China,Guangxi Normal Univ,ELECTROCHIMICA ACTA,7.336,7/10/2022,0,0.841,"The CoO nanoparticles with the short-range ordered structure supported on N,P codoped carbon flakes showcase local defect of the positional deviation along with different crystallization orientation while endow superior bifunctional activity for ORR and OER with high half-wave potential of 0.841 V for ORR and overpotential at 10 mA cm(-2) of 360 mV for OER along with a low voltage gap of 0.77 V even in 1 M KOH solution","Normal,only alkaline.",13,1,0,0,C,Co,O,N,P,None,None,None,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1016/j.cej.2021.132825,Peoples R China,Wuhan Univ Sci & Technol,CHEMICAL ENGINEERING JOURNAL,16.744,12/10/2021,5,0.83,"The resulting composites demonstrate excellent OER and HER activity in both acidic and alkaline electrolytes, including low overpotentials at 10 mA cm(-2) (eta(10)) for OER (about 291 and 240 mV) and HER (about 26.8 and 37 mV), respectively, which are superior to the benchmarking Pt/C and IrO2 catalysts","Normal,acid and alkaline.",13,1,1,0,C,Co,Ir,N,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,10.1021/acscatal.9b04060,Peoples R China,South China Univ Technol,ACS CATALYSIS,13.7,12/30/2019,68,0.782,"The resulting grape-bunch-like Cu-14-Co3Se4/GC sample contained a trace amount of Cu element and showed efficient trifunctional activities, with an oxygen evolution reaction (OER) overpotential of 280 mV and impressively the highest half-wave potential of +0.782 V (i.e., E-ORR,E-1/2) for the oxygen reduction reaction (ORR) in 0.1 M KOH as well as the lowest hydrogen evolution reaction (HER) overpotential of 166 mV among the Co3Se4 composites reported to date at 10 mA cm(-2) in 1.0 M KOH","Normal,only alkaline.",13,1,1,1,C,Co,Cu,Se,None,None,None,None,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,10.1016/j.jcis.2021.10.144,Peoples R China,Zhejiang Normal Univ,JOURNAL OF COLLOID AND INTERFACE SCIENCE,9.965,1/30/2022,66,0.85,"The Co9S8@Co/Mn-S,N-PC performs as an effective bifunctional oxygen catalyst, displaying a positive half-wave potential of 0.85 V and a large limiting current density of 5.89 mA cm (2) for oxygen reduction reaction (ORR) in alkaline media, coupled with a small overpotential of 320 mV at 10 mA cm (2) towards oxygen evolution reaction (OER), outperforming commercial Pt/C and RuO2 catalysts, respectively","Normal,only alkaline.",13,1,0,0,C,Co,Mn,S,N,None,None,None,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,10.1021/acsami.0c03672,Peoples R China,Lanzhou Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,6/5/2020,41,0.73,"As a result, the NiO/NiCo2O4 porous nanofibers exhibit highly efficient and durable performances of OER and ORR in KOH solution, including a lower overpotential of 357 mV at 10 mA cm(-2) (OER) and half-wave potential of 0.73 V (ORR) than that of the individual","Normal,only alkaline.",13,1,0,0,Co,Ni,O,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,10.1021/acsami.7b10668,Peoples R China,South China Univ Technol,ACS APPLIED MATERIALS & INTERFACES,10.383,11/3/2017,43,0.87,"For our optimal catalyst Co/M-Chlorella-900, its ORR half-wave potential is positively shifted by 40 mV compared to that of a commercial Pt/C catalyst, and the overpotential at 10 mA cm(-2) for the OER is 23 mV lower than that of a commercial IrO2/C catalyst in an alkaline medium","Normal,only alkaline.",13,1,1,0,C,Co,N,None,None,None,None,None,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1016/j.carbon.2021.02.052,Peoples R China,Xian Univ Sci & Technol,CARBON,11.307,5/13/2021,35,0.86,"Of these, the Co@NeHCCs@NG composite displays outstanding electrocatalytic performances for OER (overpotential of 298 mV @ 10 mA cm(-2)) and ORR (0.86 V @ E-1/2) in alkaline electrolyte, which could rival the most of reported materials","Normal,only alkaline.",13,1,0,0,C,Co,N,None,None,None,None,None,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1016/j.cej.2020.126385,Peoples R China,Zhejiang Normal Univ,CHEMICAL ENGINEERING JOURNAL,16.744,6/4/2021,71,0.906,"Benefitting from the rationally designed nanostructures, the ORR half-potential of the Co/CoS/Fe-HSNC electrocatalyst reaches 0.906 V in 0.1 M KOH, about 65 mV larger than commercial Pt/C electrocatalyst, and a low overpotential of 250 mV is achieved for OER and 138 mV for HER at a current density of 10 mA cm(-2)","Normal,only alkaline.",13,1,1,0,Co,S,C,None,None,None,None,None,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1002/smsc.202200035,Peoples R China,Huanghe Sci & Technol Coll,NaN,0,8/24/2022,0,0.854,The obtained Ru@NSCSs catalyst exhibits outstanding HER activity in all pH conditions (especially with a low overpotential of 5 mV at a current density of 10 mA cm(-2) in 1 m KOH) and excellent ORR performance (half-wave potential (E (1/2)) of 0.854 V in 0.1 m KOH),"Normal,only alkaline.",13,0,0,1,C,N,Ru,S,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.1039/d1ta06897k,Peoples R China,Nanjing Normal Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,11/25/2021,1,0.84,"As a proof-of-concept application, Ni SAs-Pd@NC demonstrates ultrahigh ORR activity with a positive half-wave potential of 0.84 V and a low OER overpotential of 380 mV at 10 mA cm(-2), in an alkaline medium","Normal,only alkaline.",13,1,0,0,C,N,Pd,Ni,None,None,None,None,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,10.1016/j.cej.2021.134188,Peoples R China,Northwest Normal Univ,CHEMICAL ENGINEERING JOURNAL,16.744,4/10/2022,1,0.803,"The fabricated catalysts Co3W3C/CoP/NPC have shown prominent trifunctional electrocatalytic activities for hydrogen evolution reaction (HER), oxygen evolution reaction (OER) and oxygen reduction reaction (ORR), evidenced by a positive half-wave potential of 0.803 V for ORR and a much low overpotential (at 10 mA/cm(2)) of 139/200 mV for HER and OER in alkaline electrolyte, respectively","Normal,only alkaline.",13,1,0,0,C,P,Co,W,N,None,None,None,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,10.1002/ente.202100940,Peoples R China,Jiangnan Univ,ENERGY TECHNOLOGY,4.149,12/14/2021,0,0.78,"Furthermore, the optimal calcined electrocatalyst exhibits a low overpotential of 284 mV at 10 mA cm(-2) toward OER and 0.78 V of half-wave potential for ORR in 1.0 m KOH electrolyte","Normal,only alkaline.",13,1,0,0,Co,O,P,None,None,None,None,None,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1016/j.jpowsour.2022.231563,Peoples R China,Beijing Inst Technol,JOURNAL OF POWER SOURCES,9.794,8/10/2022 0:00,0,0.86,"Profiting from strong synergetic between NiFe alloy and nitrogen-doped carbon, abundant Fe/Ni-N-C bond, this unique hierarchical yolk-core-shell structure provides an integration of superior OER and ORR property, half-wave potential of 0.86 V for ORR and a small overpotential of 277 mV at 10 mA cm(-2) for OER in O-2-saturated 0.1 M KOH","Normal,only alkaline.",13,0,0,0,C,Fe,N,Ni,None,None,None,None,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,10.1039/c7ta00993c,Peoples R China,Dongguan Univ Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,6/28/2017 0:00,81,0.862,"In an alkaline medium, the catalyst exhibited high ORR catalytic activity, with a half-wave potential 30 mV more positive and a diffusion-limiting current density 15% higher than a commercial Pt/C catalyst, and the catalyst is also highly active for OER with a small overpotential of 371 mV for 10 mA cm(-2) current density","Normal,only alkaline.",13,1,1,0,C,N,S,Co,None,None,None,None,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,10.1016/j.cej.2018.09.185,Peoples R China,Beijing Univ Chem Technol,CHEMICAL ENGINEERING JOURNAL,16.744,12/28/2018 0:00,33,0.841,"Significantly, the optimal products followed by further carbonization (RM-COP-PA-900) demonstrated excellent bifunctional electrocatalytic activities for an efficient ORR performance with similar commercialized Pt/C half-potential of 841 mV vs RHE as well as an IrO2-like OER activity with a potential of 1.69 V at 10 mA cm(-2) in alkaline media, which is better than most metal-free bifunctional catalysts","Normal,only alkaline.",13,0,0,0,C,P,N,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
